Cells,Treatment,Passage,Seeded,Retrieved
MEMminus,CON,9,0.25,1
MEMminus,ROCKi,9,0.25,2.8
MEMplus,CON,9,0.25,1.35
MEMplus,ROCKi,9,0.25,2.4
MEMminus,CON,10,0.25,2.5
MEMminus,ROCKi,10,0.25,1
MEMplus,CON,10,0.25,1.55
MEMplus,ROCKi,10,0.25,1.3
MEMminus,CON,11,0.25,0.4
MEMminus,ROCKi,11,0.25,1.075
MEMplus,CON,11,0.25,0.8
MEMplus,ROCKi,11,0.25,0.91125
MEMminus,CON,12,0.25,0.4375
MEMminus,ROCKi,12,0.25,0.5375
MEMplus,CON,12,0.25,0.4875
MEMplus,ROCKi,12,0.25,2.65
MEMminus,CON,13,0.25,0.54
MEMminus,ROCKi,13,0.25,2.8
MEMplus,CON,13,0.25,0.6
MEMplus,ROCKi,13,0.25,8.63
MEMminus,CON,14,0.25,0.25
MEMminus,ROCKi,14,0.25,2
MEMplus,CON,14,0.25,0.61
MEMplus,ROCKi,14,0.25,2.25
MEMminus,CON,15,0.25,0.315
MEMminus,ROCKi,15,0.25,0.54
MEMplus,CON,15,0.25,0.16
MEMplus,ROCKi,15,0.25,0.93
MEMminus,CON,16,0.25,0.2
MEMminus,ROCKi,16,0.25,2.98
MEMplus,CON,16,0.125,0.15
MEMplus,ROCKi,16,0.25,5.65
MEMminus,CON,17,0.125,0.115
MEMminus,ROCKi,17,0.25,1.95
MEMplus,CON,17,0.125,0.075
MEMplus,ROCKi,17,0.25,1.45
MEMminus,CON,18,0.115,0.08
MEMminus,ROCKi,18,0.25,2.25
MEMplus,CON,18,0.075,0.125
MEMplus,ROCKi,18,0.25,6.05
MEMminus,CON,19,0.08,0.088
MEMminus,ROCKi,19,0.25,1.13
MEMplus,CON,19,0.125,0.13
MEMplus,ROCKi,19,0.25,2.29
MEMminus,CON,20,0.088,0.05
MEMminus,ROCKi,20,0.125,2.95
MEMplus,CON,20,0.125,0.1
MEMplus,ROCKi,20,0.125,3.18
MEMminus,CON,21,0.05,0.03
MEMminus,ROCKi,21,0.25,0.95
MEMplus,CON,21,0.1,0.06
MEMplus,ROCKi,21,0.25,0.6
MEMminus,CON,22,0.03,0.0625
MEMminus,ROCKi,22,0.25,5.15
MEMplus,CON,22,0.06,0.1
MEMplus,ROCKi,22,0.25,5.3
MEMminus,CON,23,0.0625,0.05
MEMminus,ROCKi,23,0.25,1.14
MEMplus,CON,23,0.1,0.025
MEMplus,ROCKi,23,0.25,1.65
MEMminus,CON,24,0.05,0.05
MEMminus,ROCKi,24,0.25,2.41
MEMplus,CON,24,0.025,0.05
MEMplus,ROCKi,24,0.25,3.85
MEMminus,CON,25,0.05,0.01
MEMminus,ROCKi,25,0.25,5.6
MEMplus,CON,25,0.05,0
MEMplus,ROCKi,25,0.25,6.3
